actual,proposed
-7.451131343841553,-7.4107537269592285
-7.60559606552124,-7.4208478927612305
-7.612579822540283,-7.467035293579102
-7.626534461975098,-7.503421306610107
-7.626534461975098,-7.5341997146606445
-7.619559288024902,-7.557283401489258
-7.7700581550598145,-7.57285213470459
-7.762994289398193,-7.6221537590026855
-7.755927085876465,-7.6573638916015625
-7.755927085876465,-7.682004928588867
-7.762994289398193,-7.7004852294921875
-7.708244800567627,-7.7161126136779785
-7.687028884887695,-7.714145660400391
-7.665777206420898,-7.707366466522217
-7.651590824127197,-7.696969032287598
-7.644491195678711,-7.685624599456787
-7.71612548828125,-7.6753411293029785
-7.730384826660156,-7.685537338256836
-7.730384826660156,-7.696749210357666
-7.70898962020874,-7.705158233642578
-7.694705486297607,-7.70611572265625
-7.687557697296143,-7.703263282775879
-7.7137603759765625,-7.699337005615234
-7.706593990325928,-7.702942848205566
-7.699423789978027,-7.703855514526367
-7.692249298095703,-7.702747821807861
-7.706593990325928,-7.700123310089111
-7.77522087097168,-7.701740741729736
-7.768012523651123,-7.720110893249512
-7.77522087097168,-7.732086181640625
-7.782426357269287,-7.742869853973389
-7.782426357269287,-7.752758979797363
-7.877930164337158,-7.760175704956055
-7.8851752281188965,-7.789614200592041
-7.899653911590576,-7.813504695892334
-7.914114475250244,-7.8350419998168945
-7.92133903503418,-7.8548102378845215
-7.90435791015625,-7.8714423179626465
-7.918760299682617,-7.879671096801758
-7.933145523071289,-7.889443397521973
-7.940331935882568,-7.900368690490723
-7.954692840576172,-7.910359859466553
-7.976202487945557,-7.921442985534668
-8.069795608520508,-7.93513298034668
-8.076990127563477,-7.95134973526001
-8.084179878234863,-7.963512420654297
-8.091364860534668,-7.972634315490723
-8.098546981811523,-7.979475498199463
-8.157495498657227,-7.984606742858887
-8.179054260253906,-7.988454818725586
-8.200573921203613,-7.9913411140441895
-8.222055435180664,-7.993505954742432
-8.243497848510742,-7.995129585266113
-8.281332969665527,-7.996346950531006
-8.288481712341309,-7.997260093688965
-8.302766799926758,-7.997945308685303
-8.302766799926758,-7.9984588623046875
-8.317034721374512,-7.998844146728516
-8.535489082336426,-7.999133110046387
-8.549919128417969,-7.999350070953369
-8.564332008361816,-7.999512195587158
-8.57872486114502,-7.999634265899658
-8.585914611816406,-7.999725818634033
-8.585914611816406,-7.9997944831848145
-8.678116798400879,-7.999845504760742
-8.678116798400879,-7.999884128570557
-8.678116798400879,-7.999913215637207
-8.670896530151367,-7.999935150146484
-8.670896530151367,-7.999951362609863
-8.615765571594238,-7.999963283538818
-8.615765571594238,-7.999972343444824
-8.615765571594238,-7.999979496002197
-8.615765571594238,-7.9999847412109375
-8.622970581054688,-7.999988555908203
-8.562996864318848,-7.999991416931152
-8.570172309875488,-7.999993324279785
-8.570172309875488,-7.999995231628418
-8.562996864318848,-7.999996185302734
-8.570172309875488,-7.999997138977051
-8.634302139282227,-7.999998092651367
-8.634302139282227,-7.999998569488525
-8.64867877960205,-7.999999046325684
-8.64867877960205,-7.999999046325684
-8.655858993530273,-7.999999523162842
-8.655858993530273,-7.999999523162842
-8.782989501953125,-7.999999523162842
-8.775749206542969,-7.999999523162842
-8.76850414276123,-8.0
-8.775749206542969,-8.0
-8.775749206542969,-8.0
-8.722200393676758,-8.0
-8.736632347106934,-8.0
-8.743842124938965,-8.0
-8.729418754577637,-8.0
-8.714977264404297,-8.0
-8.79126262664795,-8.0
-8.784004211425781,-8.0
-8.776740074157715,-8.0
-8.769472122192383,-8.0
-8.776740074157715,-8.0
-8.795136451721191,-8.0
-8.787860870361328,-8.0
-8.773295402526855,-8.0
-8.773295402526855,-8.0
-8.766005516052246,-8.0
-8.751410484313965,-8.0
-8.78587532043457,-8.0
-8.778533935546875,-8.0
-8.771186828613281,-8.0
-8.756478309631348,-8.0
-8.749115943908691,-8.0
-8.79182243347168,-8.0
-8.784445762634277,-8.0
-8.784445762634277,-8.0
-8.77706527709961,-8.0
-8.77706527709961,-8.0
-8.776637077331543,-8.0
-8.776637077331543,-8.0
-8.769259452819824,-8.0
-8.754488945007324,-8.0
-8.732295989990234,-8.0
-8.71284008026123,-8.0
-8.698003768920898,-8.0
-8.668272972106934,-8.0
-8.64592170715332,-8.0
-8.61605167388916,-8.0
-8.617321968078613,-8.0
-8.594791412353516,-8.0
-8.564679145812988,-8.0
-8.549592971801758,-8.0
-8.542043685913086,-8.0
-8.51936149597168,-8.0
-8.516014099121094,-8.0
-8.500802040100098,-8.0
-8.493188858032227,-8.0
-8.470318794250488,-8.0
-8.462685585021973,-8.0
-8.44764518737793,-8.0
-8.432341575622559,-8.0
-8.432341575622559,-8.0
-8.432341575622559,-8.0
-8.424683570861816,-8.0
-8.350308418273926,-8.0
-8.350308418273926,-8.0
-8.357948303222656,-8.0
-8.365584373474121,-8.0
-8.373214721679688,-8.0
-8.380840301513672,-8.0
-8.235908508300781,-8.0
-8.250985145568848,-8.0
-8.273563385009766,-8.0
-8.296099662780762,-8.0
-8.311100006103516,-8.0
-8.356457710266113,-8.0
-8.378911972045898,-8.0
-8.401322364807129,-8.0
-8.423690795898438,-8.0
-8.431137084960938,-8.0
-8.393301010131836,-8.0
-8.415485382080078,-8.0
-8.452363967895508,-8.0
-8.481781959533691,-8.0
-8.525768280029297,-8.0
-8.464110374450684,-8.0
-8.493075370788574,-8.0
-8.521966934204102,-8.0
-8.543587684631348,-8.0
-8.557978630065918,-8.0
-8.572351455688477,-8.0
-8.53104019165039,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.506413459777832,-8.0
-8.492142677307129,-8.0
-8.485000610351562,-8.0
-8.477853775024414,-8.0
-8.470703125,-8.0
-8.412928581237793,-8.0
-8.398649215698242,-8.0
-8.39150333404541,-8.0
-8.39150333404541,-8.0
-8.398649215698242,-8.0
-8.309181213378906,-8.0
-8.294936180114746,-8.0
-8.3020601272583,-8.0
-8.31629753112793,-8.0
-8.31629753112793,-8.0
-8.215087890625,-8.0
-8.208011627197266,-8.0
-8.208011627197266,-8.0
-8.215087890625,-8.0
-8.222160339355469,-8.0
-8.229228973388672,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.26047420501709,-8.0
-8.222904205322266,-8.0
-8.22994327545166,-8.0
-8.222904205322266,-8.0
-8.215862274169922,-8.0
-8.215862274169922,-8.0
-8.208462715148926,-8.0
-8.208462715148926,-8.0
-8.194372177124023,-8.0
-8.180264472961426,-8.0
-8.166141510009766,-8.0
-8.026017189025879,-8.0
-8.005006790161133,-8.0
-8.005006790161133,-8.0
-7.99098014831543,-8.0
-7.976938247680664,-7.997745037078857
-7.976938247680664,-7.9925432205200195
-7.849761962890625,-7.98864221572876
-7.856727123260498,-7.953922271728516
-7.856727123260498,-7.929623126983643
-7.842792987823486,-7.9113993644714355
-7.842792987823486,-7.894247531890869
-7.726785182952881,-7.881383895874023
-7.726785182952881,-7.842734336853027
-7.726785182952881,-7.813746929168701
-7.699121475219727,-7.792006492614746
-7.685266971588135,-7.76878547668457
-7.526437282562256,-7.747905731201172
-7.498922348022461,-7.692538738250732
-7.478249549865723,-7.644134521484375
-7.457544326782227,-7.602663516998291
-7.436807155609131,-7.566383361816406
-7.252095699310303,-7.533989429473877
-7.231594562530518,-7.4635162353515625
-7.2179107666015625,-7.405535697937012
-7.211063861846924,-7.3586297035217285
-7.1836419105529785,-7.321738243103027
-6.997929573059082,-7.287214279174805
-6.984393119812012,-7.214892864227295
-6.970844745635986,-7.157268047332764
-6.9640655517578125,-7.11066198348999
-6.943708419799805,-7.074012756347656
-6.936916351318359,-7.041436672210693
-6.732686996459961,-7.0153069496154785
-6.719359397888184,-6.9446516036987305
-6.712690830230713,-6.888328552246094
-6.69266939163208,-6.844419002532959
-6.6859893798828125,-6.806481838226318
-6.561649799346924,-6.776358604431152
-6.568248271942139,-6.722681522369385
-6.568248271942139,-6.684072971343994
-6.568248271942139,-6.655117034912109
-6.561649799346924,-6.633399486541748
-6.473837375640869,-6.615462303161621
-6.493385314941406,-6.580056190490723
-6.512909889221191,-6.5583882331848145
-6.525912284851074,-6.547018527984619
-6.545396327972412,-6.541742324829102
-6.564855575561523,-6.5426554679870605
-6.496432304382324,-6.548205852508545
-6.521972179412842,-6.535262107849121
-6.5410990715026855,-6.531939506530762
-6.566566467285156,-6.534229755401611
-6.579283714294434,-6.542313575744629
-6.451158046722412,-6.55155611038208
-6.476119518280029,-6.526456832885742
-6.494815349578857,-6.5138726234436035
-6.507266521453857,-6.509108066558838
-6.532139778137207,-6.508647918701172
-6.363232135772705,-6.514520645141602
-6.381467342376709,-6.476698398590088
-6.39968204498291,-6.452890872955322
-6.411813735961914,-6.43958854675293
-6.429994106292725,-6.432644844055176
-6.442340850830078,-6.431982040405273
-6.454428195953369,-6.434571743011475
-6.460468292236328,-6.439536094665527
-6.466506004333496,-6.444768905639648
-6.478574275970459,-6.4502034187316895
-6.427638530731201,-6.457295894622803
-6.433621883392334,-6.449881553649902
-6.433621883392334,-6.445816516876221
-6.439602851867676,-6.442768096923828
-6.445581912994385,-6.441976547241211
-6.439602851867676,-6.442878246307373
-6.332334995269775,-6.44205904006958
-6.338240146636963,-6.414628028869629
-6.344143390655518,-6.395531177520752
-6.338240146636963,-6.382684230804443
-6.332334995269775,-6.371573448181152
-6.251317024230957,-6.361763954162598
-6.257165908813477,-6.3341522216796875
-6.251317024230957,-6.314905643463135
-6.257165908813477,-6.299008369445801
-6.245466232299805,-6.288547992706299
-6.154409408569336,-6.277777671813965
-6.154409408569336,-6.2469353675842285
-6.154409408569336,-6.223803997039795
-6.148626804351807,-6.206455230712891
-6.154409408569336,-6.19199800491333
-6.062010288238525,-6.182600975036621
-6.06773042678833,-6.152453422546387
-6.062010288238525,-6.131272792816162
-6.050564289093018,-6.113956928253174
-6.050564289093018,-6.098108768463135
-6.033381462097168,-6.0862226486206055
-5.932002067565918,-6.073012351989746
-5.926339149475098,-6.037759780883789
-5.9150071144104,-6.009904384613037
-5.926339149475098,-5.986180305480957
-5.920673847198486,-5.971220016479492
-5.919516086578369,-5.958583354949951
-5.902513027191162,-5.948816776275635
